"geolocation","count_total","max_mass","min_mass","avg_mass","max_year","min_year","avg_year"
"(27.53333, 3.83333)",2,941,109,525.00,1990,1990,1990.00
"(19.80252, 57.32137)",2,402.75,402.75,402.75,2003,2003,2003.00
"(-76.65816, 159.32088)",2,9.4,0.5,4.95,1981,1981,1981.00
"(-29.16667, 127.16667)",2,809,410,609.50,1977,1977,1977.00
"(19.99653, 56.5261)",2,410.31,410.31,410.31,2005,2005,2005.00
"(-72.78083, 75.30111)",2,3.85,1.79,2.82,2006,2006,2006.00
"(-72.77833, 75.31389)",2,43.3,6.38,24.84,2003,2003,2003.00
"(-86.93333, -148.55)",2,77.8,5.3,41.55,1998,1998,1998.00
"(-72.77472, 75.32306)",2,8.1,3.91,6.01,2003,2003,2003.00
"(-76.32861, 157.23)",2,545.6,212.3,378.95,1983,1983,1983.00
"(34.3, -103.45)",2,49.4,6.8,28.10,1970,1968,1969.00
"(-72.78056, 75.29944)",2,65.49,3.95,34.72,2006,2006,2006.00
"(27.64611, 4.39722)",2,235,124,179.50,1991,1991,1991.00
"(-72.99, 160.40722)",2,4.1,3.2,3.65,2001,2001,2001.00
"(18.76272, 54.27838)",2,966,68,517.00,2001,2001,2001.00
"(-76.69389, 159.3875)",2,213.3,9.7,111.50,1983,1983,1983.00
"(-72.792778, 75.274722)",2,0.84,0.77,0.81,2006,2006,2006.00
"(27.66667, 4.23333)",2,1072,240,656.00,1990,1990,1990.00
"(-72.95194, 160.45444)",2,4.9,1.6,3.25,2001,2001,2001.00
"(27.0, 16.38333)",2,108,69,88.50,1999,1999,1999.00
"(31.92644, 10.18961)",2,200,21,110.50,2008,2008,2008.00
"(-72.98472, 75.24944)",2,0.9,0.48,0.69,2003,2003,2003.00
"(-72.77528, 75.33806)",2,135.4,1.72,68.56,2006,2003,2004.50
"(19.33, 54.78333)",2,34.11,4.15,19.13,2001,2001,2001.00
"(-72.98944, 160.40278)",2,5.1,0.8,2.95,2001,2001,2001.00
"(27.31033, 16.2325)",2,269,184,226.50,1997,1997,1997.00
"(-72.783056, 75.297222)",2,0.74,0.67,0.71,2006,2006,2006.00
"(29.91667, -5.41667)",2,301.2,286,293.60,1998,1998,1998.00
"(-72.95222, 160.51778)",2,20.5,15.6,18.05,1997,1997,1997.00
"(27.16667, 16.13333)",2,1425,44,734.50,2000,1997,1998.50
"(-72.95222, 160.4625)",2,5.1,0.8,2.95,2001,2001,2001.00
"(-76.70167, 159.40083)",2,28.3,23.7,26.00,1981,1981,1981.00
"(34.35833, -101.73)",2,12500,2600,7550.00,1966,1951,1958.50
"(-84.27385, 161.68648)",2,4,1,2.50,1993,1993,1993.00
